(5.8,15.3,-1.55)
(1.55,15.3,-5.8)
(-5.2,15.3,-3)
(-5.8,15.3,-1.55)
(-5.8,15.3,1.55)
(-5.2,15.3,3)
(-4.24,15.3,4.24)
(-3,15.3,5.2)
(1.55,15.3,5.8)
(5.2,15.3,-3)
(4.24,15.3,-4.24)
(3,15.3,-5.2)
(-1.55,15.3,-5.8)
(-3,15.3,-5.2)
(-4.24,15.3,-4.24)
(-1.55,15.3,5.8)
(3,15.3,5.2)
(4.24,15.3,4.24)
(5.2,15.3,3)
(5.8,15.3,1.55)
(5.8,13.8,-1.55)
(1.55,13.8,-5.8)
(-5.2,13.8,-3)
(-5.8,13.8,-1.55)
(-5.8,13.8,1.55)
(-5.2,13.8,3)
(-4.24,13.8,4.24)
(-3,13.8,5.2)
(1.55,13.8,5.8)
(5.2,13.8,-3)
(4.24,13.8,-4.24)
(3,13.8,-5.2)
(-1.55,13.8,-5.8)
(-3,13.8,-5.2)
(-4.24,13.8,-4.24)
(-1.55,13.8,5.8)
(3,13.8,5.2)
(4.24,13.8,4.24)
(5.2,13.8,3)
(5.8,13.8,1.55)
(5.8,12.3,-1.55)
(1.55,12.3,-5.8)
(-5.2,12.3,-3)
(-5.8,12.3,-1.55)
(-5.8,12.3,1.55)
(-5.2,12.3,3)
(-4.24,12.3,4.24)
(-3,12.3,5.2)
(1.55,12.3,5.8)
(5.2,12.3,-3)
(4.24,12.3,-4.24)
(3,12.3,-5.2)
(-1.55,12.3,-5.8)
(-3,12.3,-5.2)
(-4.24,12.3,-4.24)
(-1.55,12.3,5.8)
(3,12.3,5.2)
(4.24,12.3,4.24)
(5.2,12.3,3)
(5.8,12.3,1.55)
(5.8,10.8,-1.55)
(1.55,10.8,-5.8)
(-5.2,10.8,-3)
(-5.8,10.8,-1.55)
(-5.8,10.8,1.55)
(-5.2,10.8,3)
(-4.24,10.8,4.24)
(-3,10.8,5.2)
(1.55,10.8,5.8)
(5.2,10.8,-3)
(4.24,10.8,-4.24)
(3,10.8,-5.2)
(-1.55,10.8,-5.8)
(-3,10.8,-5.2)
(-4.24,10.8,-4.24)
(-1.55,10.8,5.8)
(3,10.8,5.2)
(4.24,10.8,4.24)
(5.2,10.8,3)
(5.8,10.8,1.55)
(5.8,9.3,-1.55)
(1.55,9.3,-5.8)
(-5.2,9.3,-3)
(-5.8,9.3,-1.55)
(-5.8,9.3,1.55)
(-5.2,9.3,3)
(-4.24,9.3,4.24)
(-3,9.3,5.2)
(1.55,9.3,5.8)
(5.2,9.3,-3)
(4.24,9.3,-4.24)
(3,9.3,-5.2)
(-1.55,9.3,-5.8)
(-3,9.3,-5.2)
(-4.24,9.3,-4.24)
(-1.55,9.3,5.8)
(3,9.3,5.2)
(4.24,9.3,4.24)
(5.2,9.3,3)
(5.8,9.3,1.55)
(5.8,7.8,-1.55)
(1.55,7.8,-5.8)
(-5.2,7.8,-3)
(-5.8,7.8,-1.55)
(-5.8,7.8,1.55)
(-5.2,7.8,3)
(-4.24,7.8,4.24)
(-3,7.8,5.2)
(1.55,7.8,5.8)
(5.2,7.8,-3)
(4.24,7.8,-4.24)
(3,7.8,-5.2)
(-1.55,7.8,-5.8)
(-3,7.8,-5.2)
(-4.24,7.8,-4.24)
(-1.55,7.8,5.8)
(3,7.8,5.2)
(4.24,7.8,4.24)
(5.2,7.8,3)
(5.8,7.8,1.55)
(5.8,6.3,-1.55)
(1.55,6.3,-5.8)
(-5.2,6.3,-3)
(-5.8,6.3,-1.55)
(-5.8,6.3,1.55)
(-5.2,6.3,3)
(-4.24,6.3,4.24)
(-3,6.3,5.2)
(1.55,6.3,5.8)
(5.2,6.3,-3)
(4.24,6.3,-4.24)
(3,6.3,-5.2)
(-1.55,6.3,-5.8)
(-3,6.3,-5.2)
(-4.24,6.3,-4.24)
(-1.55,6.3,5.8)
(3,6.3,5.2)
(4.24,6.3,4.24)
(5.2,6.3,3)
(5.8,6.3,1.55)
(5.8,4.8,-1.55)
(1.55,4.8,-5.8)
(-5.2,4.8,-3)
(-5.8,4.8,-1.55)
(-5.8,4.8,1.55)
(-5.2,4.8,3)
(-4.24,4.8,4.24)
(-3,4.8,5.2)
(1.55,4.8,5.8)
(5.2,4.8,-3)
(4.24,4.8,-4.24)
(3,4.8,-5.2)
(-1.55,4.8,-5.8)
(-3,4.8,-5.2)
(-4.24,4.8,-4.24)
(-1.55,4.8,5.8)
(3,4.8,5.2)
(4.24,4.8,4.24)
(5.2,4.8,3)
(5.8,4.8,1.55)
(5.8,3.3,-1.55)
(1.55,3.3,-5.8)
(-5.2,3.3,-3)
(-5.8,3.3,-1.55)
(-5.8,3.3,1.55)
(-5.2,3.3,3)
(-4.24,3.3,4.24)
(-3,3.3,5.2)
(1.55,3.3,5.8)
(5.2,3.3,-3)
(4.24,3.3,-4.24)
(3,3.3,-5.2)
(-1.55,3.3,-5.8)
(-3,3.3,-5.2)
(-4.24,3.3,-4.24)
(-1.55,3.3,5.8)
(3,3.3,5.2)
(4.24,3.3,4.24)
(5.2,3.3,3)
(5.8,3.3,1.55)
(5.8,1.8,-1.55)
(1.55,1.8,-5.8)
(-5.2,1.8,-3)
(-5.8,1.8,-1.55)
(-5.8,1.8,1.55)
(-5.2,1.8,3)
(-4.24,1.8,4.24)
(-3,1.8,5.2)
(1.55,1.8,5.8)
(5.2,1.8,-3)
(4.24,1.8,-4.24)
(3,1.8,-5.2)
(-1.55,1.8,-5.8)
(-3,1.8,-5.2)
(-4.24,1.8,-4.24)
(-1.55,1.8,5.8)
(3,1.8,5.2)
(4.24,1.8,4.24)
(5.2,1.8,3)
(5.8,1.8,1.55)
(5.8,0.3,-1.55)
(1.55,0.3,-5.8)
(-5.2,0.3,-3)
(-5.8,0.3,-1.55)
(-5.8,0.3,1.55)
(-5.2,0.3,3)
(-4.24,0.3,4.24)
(-3,0.3,5.2)
(1.55,0.3,5.8)
(5.2,0.3,-3)
(4.24,0.3,-4.24)
(3,0.3,-5.2)
(-1.55,0.3,-5.8)
(-3,0.3,-5.2)
(-4.24,0.3,-4.24)
(-1.55,0.3,5.8)
(3,0.3,5.2)
(4.24,0.3,4.24)
(5.2,0.3,3)
(5.8,0.3,1.55)
